timestamp_us,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,motor_id,motor_command
577871467,-1.280,1.098,0.427,0.003,0.025,1.039,4,48
577872639,-1.098,1.402,0.122,-0.006,0.026,1.037,4,48
577873606,-1.220,1.159,0.122,0.003,0.028,1.042,4,48
577874640,-1.159,1.280,0.122,0.001,0.022,1.042,4,48
577875580,-0.854,1.463,0.183,-0.002,0.023,1.037,4,48
577876640,-0.671,1.280,0.427,-0.007,0.034,1.036,4,48
577877567,-0.854,1.341,0.366,0.000,0.022,1.040,4,48
577878640,-1.037,1.402,0.305,-0.001,0.021,1.038,4,48
577879570,-1.341,1.402,0.427,-0.004,0.024,1.038,4,48
577880640,-1.280,1.524,0.671,-0.003,0.033,1.037,4,48
577881571,-1.098,1.341,0.366,0.003,0.023,1.041,4,48
577882640,-0.976,1.463,0.305,0.002,0.021,1.039,4,48
577883567,-1.037,1.341,0.244,0.004,0.027,1.038,4,48
577884640,-0.854,1.402,0.366,0.002,0.028,1.040,4,48
577885563,-1.098,1.585,0.366,-0.003,0.032,1.036,4,48
577886640,-0.915,1.402,0.366,0.000,0.030,1.038,4,48
577887559,-1.098,1.280,0.366,-0.002,0.029,1.038,4,48
577888640,-1.159,1.463,0.488,-0.000,0.025,1.039,4,48
577889571,-1.098,1.524,0.549,0.000,0.022,1.033,4,48
577890640,-0.976,1.524,0.488,-0.004,0.023,1.042,4,48
577891563,-0.915,1.402,0.549,-0.003,0.031,1.041,4,48
577892640,-0.854,1.524,0.244,-0.009,0.015,1.040,4,48
577893571,-0.671,1.463,0.427,0.001,0.030,1.038,4,48
577894640,-0.793,1.585,0.427,-0.007,0.022,1.041,4,48
577895563,-1.220,1.585,0.366,-0.003,0.022,1.039,4,48
577896640,-1.280,1.646,0.427,0.009,0.023,1.044,4,48
577897565,-1.220,1.646,0.610,0.001,0.032,1.033,4,48
577898640,-0.793,1.646,0.610,-0.003,0.025,1.039,4,48
577899571,-0.671,1.341,0.305,0.000,0.031,1.036,4,48
577900640,-1.220,1.341,0.549,-0.004,0.015,1.034,4,48
577901575,-1.402,1.280,0.427,-0.007,0.026,1.036,4,48
577902640,-1.280,1.280,0.183,0.002,0.022,1.038,4,48
577903571,-1.280,1.585,0.183,-0.006,0.027,1.039,4,48
577904640,-1.220,1.585,0.366,0.003,0.032,1.039,4,48
577905575,-0.976,1.524,0.610,0.002,0.029,1.038,4,48
577906640,-1.341,1.646,0.427,-0.002,0.030,1.039,4,48
577907571,-1.220,1.524,0.427,-0.004,0.028,1.038,4,48
577908640,-1.341,1.402,0.427,-0.002,0.031,1.035,4,48
577909567,-1.220,1.280,0.488,0.004,0.021,1.038,4,48
577910640,-1.463,1.402,0.427,0.004,0.023,1.042,4,48
577911571,-1.220,1.280,0.366,-0.003,0.022,1.034,4,48
577912640,-1.098,1.585,0.549,0.007,0.025,1.037,4,48
577913571,-1.037,1.585,0.549,0.004,0.022,1.040,4,48
577914640,-1.524,1.280,0.427,0.000,0.027,1.034,4,48
577915559,-1.280,1.585,0.183,-0.006,0.025,1.031,4,48
577916640,-1.280,1.402,0.305,-0.003,0.023,1.042,4,48
577917563,-1.098,1.159,0.366,-0.004,0.027,1.034,4,48
577918640,-1.037,1.280,0.366,0.005,0.033,1.040,4,48
577919563,-1.280,1.463,0.427,0.004,0.025,1.042,4,48
577920640,-0.793,1.341,0.366,-0.003,0.023,1.037,4,48
577921742,-0.793,1.463,0.183,-0.001,0.026,1.040,4,48
577922288,-0.915,1.280,0.000,-0.002,0.028,1.041,4,58
577923450,-1.098,1.402,0.244,0.003,0.023,1.031,4,58
577924638,-1.280,1.402,0.427,0.001,0.026,1.031,4,58
577925632,-1.159,1.463,0.549,-0.001,0.029,1.038,4,58
577926155,-1.402,1.341,0.610,0.001,0.029,1.040,4,58
577927700,-1.159,1.341,0.549,0.001,0.030,1.040,4,58
577928212,-1.159,1.341,0.549,0.001,0.030,1.040,4,58
577929700,-0.915,1.341,0.793,-0.001,0.028,1.033,4,58
577930208,-0.915,1.585,0.610,0.002,0.037,1.041,4,58
577931707,-1.280,1.585,0.549,-0.004,0.026,1.035,4,58
577932227,-1.280,1.646,0.427,-0.008,0.027,1.038,4,58
577933701,-1.280,1.585,0.427,0.003,0.028,1.038,4,58
577934215,-1.280,1.585,0.427,0.003,0.028,1.038,4,58
577935700,-0.671,1.341,0.488,0.000,0.027,1.041,4,58
577936204,-0.671,1.341,0.488,0.000,0.027,1.041,4,58
577937701,-1.098,1.341,0.305,-0.005,0.030,1.043,4,58
577938213,-1.159,1.280,0.427,-0.003,0.026,1.039,4,58
577939700,-0.976,1.280,0.549,0.003,0.027,1.036,4,58
577940211,-0.976,1.524,0.366,-0.006,0.027,1.037,4,58
577941700,-1.037,1.646,0.671,0.004,0.032,1.038,4,58
577942213,-1.037,1.646,0.671,0.004,0.032,1.038,4,58
