timestamp_us,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,motor_id,motor_command
187482215,-1.402,1.585,-0.549,-0.120,0.018,1.028,1,1100
187483643,-1.098,0.488,-0.488,0.005,0.007,1.038,1,1100
187484702,-0.549,-0.183,-0.122,0.077,0.036,1.067,1,1100
187485237,-0.427,0.061,0.305,0.151,0.126,1.077,1,1100
187486687,-0.915,1.890,0.305,0.054,0.046,1.039,1,1100
187487201,-0.915,1.890,0.305,0.054,0.046,1.039,1,1100
187488690,-1.280,3.110,-0.366,-0.069,-0.020,1.027,1,1100
187489203,-1.524,2.561,-0.549,-0.069,-0.020,1.027,1,1100
187490688,-1.341,1.463,-0.671,-0.025,-0.026,0.968,1,1100
187491203,-1.341,0.610,-0.610,0.009,0.018,1.069,1,1100
187492689,-0.427,-0.671,0.183,0.105,0.043,1.061,1,1100
187493201,-0.427,-0.671,0.183,0.129,0.102,1.094,1,1100
187494688,-0.610,2.378,0.183,0.043,0.061,1.042,1,1100
187495202,-0.610,2.378,0.183,0.043,0.061,1.042,1,1100
187496689,-1.098,3.232,-0.366,-0.094,-0.001,1.056,1,1100
187497202,-1.341,2.683,-0.610,-0.129,-0.033,1.003,1,1100
187498688,-1.341,1.768,-0.610,-0.059,-0.006,0.996,1,1100
187499203,-1.159,0.549,-0.671,-0.015,-0.017,1.055,1,1100
187500689,-0.366,-0.488,0.122,0.096,0.089,1.060,1,1100
187501202,-0.366,-0.488,0.122,0.096,0.089,1.060,1,1100
187502688,-0.915,1.890,0.183,0.000,0.070,1.060,1,1100
187503203,-0.915,3.049,-0.366,-0.045,0.022,0.987,1,1100
187504690,-1.402,3.293,-0.732,-0.129,0.008,1.066,1,1100
187505203,-1.524,2.683,-0.976,-0.079,-0.055,1.008,1,1100
187506688,-1.280,0.976,-0.854,0.005,-0.048,1.011,1,1100
187507204,-1.280,0.976,-0.854,0.005,-0.048,1.011,1,1100
187508689,-0.488,-0.366,0.122,0.116,0.079,1.022,1,1100
187509201,-0.488,-0.366,0.122,0.116,0.079,1.022,1,1100
187510688,-1.463,1.951,-0.183,-0.009,0.022,1.062,1,1100
187511204,-1.341,2.866,-0.366,-0.039,0.033,1.008,1,1100
187512689,-1.402,3.110,-0.427,-0.153,-0.002,1.011,1,1100
187513205,-1.402,2.805,-0.549,-0.062,-0.013,1.000,1,1100
187514688,-0.854,0.671,-0.610,0.045,-0.052,0.982,1,1100
187515204,-0.854,0.671,-0.610,0.045,-0.052,0.982,1,1100
187516684,-0.244,-0.061,0.305,0.168,0.076,0.996,1,1100
187517198,-0.488,0.610,0.427,0.081,0.115,1.122,1,1100
187518688,-0.854,1.707,-0.244,0.021,0.048,1.041,1,1100
187519203,-1.159,2.744,-0.366,-0.058,0.044,1.037,1,1100
187520689,-1.341,2.744,-0.610,-0.083,-0.019,0.973,1,1100
187521207,-1.341,2.744,-0.610,-0.083,-0.019,0.973,1,1100
187522688,-1.463,0.793,-0.549,0.021,-0.033,1.038,1,1100
187523203,-0.793,-0.122,-0.305,0.021,-0.033,1.038,1,1100
187524689,-0.549,-0.366,0.122,0.144,0.113,1.001,1,1100
187525201,-0.671,0.671,0.610,0.087,0.094,1.095,1,1100
187526688,-1.098,2.805,-0.122,0.055,0.082,1.045,1,1100
